; level 26 - based on original 'spiral trench' level

n:"Accelerator","Accélération","Beschleuniger","Acelerador","Acceleratore"

; paths are opened in order


100, 24, 1, 102, s, 0
101, 19, 1, 103, s, 0
102, 14, 0, 104, s, 0
103, 16, 0, 105, s, 0

104, 15, 0, 106, s, 0
105, 17, 0, 107, s, 0
106, 21, 0, 108, s, 0
107, 27, 0, 109, s, 0

108, 28, 0, 110, s, 0
109, 26, 0, 111, s, 0
110, 22, 0, 112, s, 0
111, 18, 0, 113, s, 0

112, 20, 0, 114, s, 0
113, 25, 0, 115, s, 0
114, 23, 0, 116, s, 0
115,  6, 0, 117, s, 0

116, 10, 0, 118, s, 0
117,  7, 0, 119, s, 0
118,  2, 0, 120, s, 0
119,  5, 0, 121, s, 0

120, 11, 0, 122, s, 0
121, 12, 0, 123, s, 0
122, 13, 0, 124, s, 0
123,  9, 0, 125, s, 0

124,  4, 0, 126, s, 0
125,  1, 0, 127, s, 0
126,  0, 0, 128, s, 0
127,  3, 0, 100, s, 0

128,  8, 0, 101, s, 0

; back to the beggining

; the 'A' letter

500, 29, 1,   x, s, 0




; end
