; level 36 - new level

n:"Absolute","Absolu","Absolut","Absoluto","Assoluto"

; the final boss level. Player is able to just complete the power paths or he can also collect the snakes letters to access the bonus stage

; S is first

300, 41, 1, 301, s, 0
301, 42, 0, 302, s, 0
302, 24, 0, 100, s, 0

100,  4, 0, 101, s, 0
101,  0, 0, 102, s, 0

; 'S' path

102,  5, 0, &303:400, s, 0
400, 43, 0,   x, s, 0

303, 25, 0, 304, s, 0
304, 27, 0, 103, s, 0
103, 16, 0, 104, s, 0

; back to the main area

104, 17, 0, 105, s, 0
105, 18, 0, 305, s, 0
305, 41, 0, 306, s, 0
306, 42, 0, 106, s, 0

106,  3, 0, 107, s, 0

; 'N' path

107,  9, 0, &108:401, s, 0
401, 44, 0,   x, s, 0


108, 10, 0, &307:308:309:310:311:312:313:314, s, 0
307, 34, 0, 109, s, 0
308, 35, 0, 109, s, 0
309, 36, 0, 109, s, 0
310, 37, 0, 109, s, 0
311, 38, 0, 109, s, 0
312, 33, 0, 109, s, 0
313, 31, 0, 109, s, 0
314, 32, 0, 109, s, 0

109, 13, 0, 110, s, 0
110, 16, 0, 111, s, 0

; back to the main area

111, 17, 0, 112, s, 0
112, 18, 0, 315, s, 0
315, 41, 0, 316, s, 0
316, 42, 0, 113, s, 0

; 'A' path

113,  6, 0, &317:402, s, 0
402, 45, 0,   x, s, 0


317, 24, 0, 318, s, 0
318, 42, 0, 319, s, 0
319, 41, 0, 114, s, 0

114, 20, 0, 115, s, 0
115, 19, 0, &320:116, s, 0

320, 40, 0, 321, s, 0
321, 39, 0,   x, s, 0
116, 16, 0, 117, s, 0
117, 13, 0, 118, s, 0
118, 14, 0, 119, s, 0
119,  8, 0, 120, s, 0

; 'K' path

120,  7, 0, &121:403, s, 0
403, 46, 0,   x, s, 0

121,  2, 0, 322, s, 0
322, 25, 0, 323, s, 0
323, 27, 0, 324, s, 0
324, 16, 0, 122, s, 0
122, 17, 0, 123, s, 0
123, 18, 0, 325, s, 0

325, 41, 0, 326, s, 0
326, 42, 0, 124, s, 0
124,  4, 0, 125, s, 0
125,  0, 0, 126, s, 0
126,  1, 0, 327, s, 0
327, 25, 0, 328, s, 0
328, 27, 0, 127, s, 0
127, 13, 0, 128, s, 0

; 'E' path

128, 12, 0, &129:404, s, 0
404, 47, 0,   x, s, 0

129, 13, 0, 130, s, 0
130, 16, 0, 329, s, 0
329, 39, 0, 131, s, 0
131, 17, 0, 132, s, 0
132, 18, 0, 330, s, 0

330, 41, 0, 331, s, 0
331, 42, 0, 133, s, 0
133,  3, 0, &332:333:334:335, s, 0
332, 26, 0, 134, s, 0
333, 30, 0, 134, s, 0
334, 29, 0, 134, s, 0
335, 28, 0, 134, s, 0

134, 10, 0, &336:337:338:339:340:341:342:343, s, 0

336, 34, 0, 135, s, 0
337, 35, 0, 135, s, 0
338, 36, 0, 135, s, 0
339, 37, 0, 135, s, 0
340, 38, 0, 135, s, 0
341, 33, 0, 135, s, 0
342, 31, 0, 135, s, 0
343, 32, 0, 135, s, 0

135, 15, 0, 136, s, 0

; final 'S' path

136, 11, 0, &137:405, s, 0
405, 48, 0,   x, s, 0



137, 16, 0, 138, s, 0

; start of repeating section for if the player needs points to finish level

138, 17, 0, 139, s, 0
139, 18, 0, 344, s, 0
344, 41, 0, 345, s, 0
345, 42, 0, 140, s, 0

140,  3, 0, &346:347:348:349, s, 0

346, 26, 0, 141, s, 0
347, 30, 0, 141, s, 0
348, 29, 0, 141, s, 0
349, 28, 0, 141, s, 0

141, 10, 0, &350:351:352:353, s, 0
350, 34, 0, 142, s, 0
351, 36, 0, 142, s, 0
352, 38, 0, 142, s, 0
353, 31, 0, 142, s, 0

142, 13, 0, 143, s, 0
143, 16, 0, 354, s, 0
354, 40, 0, 138, s, 0








; identifiers

p:41,0
p:42,5
p:24,0

p:26,0
p:30,0
p:29,0
p:28,0

p:34,5
p:35,0
p:36,2
p:37,0
p:38,2
p:33,0
p:31,2
p:32,0

p:27,0
p:25,0

p:39,0
p:40,0


; end
