; level 12 - based on original 'spiral trench' level

; paths are opened in order as each trigger is activated (some paths opened from previous paths)

300, 23, 1, 100, s, 0
100,  8, 0, 301, s, 0

301, 16, 0, 101, s, 0
101,  2, 0, 302, s, 0

302, 15, 0, 102, s, 0
102,  1, 0, 303, s, 0

303, 14, 0, 103, s, 0
103,  0, 0, 304, s, 0

304, 18, 0, 104, s, 0
104,  5, 0, 305, s, 0

305, 24, 0, 105, s, 0
105, 11, 0, 106, s, 0

106, 13, 0, 107, s, 0
107, 12, 0, 306, s, 0

306, 22, 0, 108, s, 0
108,  9, 0, 307, s, 0

307, 19, 0, 109, s, 0
109,  4, 0, 308, s, 0

308, 17, 0, 110, s, 0
110,  3, 0, 309, s, 0

309, 20, 0, 111, s, 0
111, 10, 0, 310, s, 0

310, 21, 0, 112, s, 0
112,  7, 0, 113, s, 0

113,  6, 0, 311, 5, 0
311, 21, 0, 114, s, 0



114, 10, 0, 312, s, 0
312, 20, 0, 115, s, 0

115,  3, 0, 313, s, 0
313, 17, 0, 116, s, 0

116,  4, 0, 314, s, 0
314, 19, 0, 117, s, 0

117,  9, 0, 315, s, 0
315, 22, 0, 118, s, 0

118, 12, 0, 119, s, 0
119, 13, 0, 120, s, 0
120, 11, 0, 316, s, 0

316, 24, 0, 121, s, 0
121,  5, 0, 317, s, 0

317, 18, 0, 122, s, 0
122,  0, 0, 318, s, 0

318, 14, 0, 123, s, 0
123,  1, 0, 319, s, 0

319, 15, 0, 124, s, 0
124,  2, 0, 320, s, 0

320, 16, 0, 125, s, 0
125,  8, 0, 300, s, 0 



; end
